,Class,X,Y
7004,FOXP3-CD4+,5657,14245
7005,CD8+,5658,14874
7006,CD8+,5663,15229
7007,CD8+,5667,15058
7008,CD8+,5668,15354
7009,FOXP3-CD4+,5671,15674
7010,FOXP3-CD4+,5671,15687
7011,FOXP3-CD4+,5672,15409
7012,CD8+,5672,15611
7013,CD8+,5674,15171
7014,FOXP3-CD4+,5674,15469
7015,CD8+,5676,14833
7016,CD8+,5676,15038
7017,CD8+,5677,14026
7018,FOXP3-CD4+,5677,15483
7019,CD8+,5677,15590
7020,FOXP3-CD4+,5678,14056
7021,FOXP3-CD4+,5684,14887
7022,CD8+,5685,14143
7023,CD8+,5686,15618
7024,CD8+,5688,15190
7025,CD8+,5691,15291
7026,FOXP3-CD4+,5691,15365
7027,CD8+,5692,15740
7028,FOXP3-CD4+,5694,15325
7029,CD8+,5695,14945
7030,CD8+,5697,14290
7031,CD8+,5697,14857
7032,CD8+,5698,15609
7033,CD8+,5701,14230
7034,CD8+,5707,15251
7035,CD8+,5708,14824
7036,CD8+,5709,15869
7037,FOXP3-CD4+,5711,15970
7038,FOXP3-CD4+,5717,14979
7039,CD8+,5719,14834
7040,FOXP3-CD4+,5720,15075
7041,FOXP3-CD4+,5720,15342
7042,CD8+,5722,15876
7043,CD8+,5723,14547
7044,FOXP3-CD4+,5723,15528
7045,CD8+,5725,14305
7046,CD8+,5726,14870
7047,CD8+,5727,15271
7048,FOXP3-CD4+,5729,14227
7049,CD8+,5729,15200
7050,FOXP3-CD4+,5733,15916
7051,CD8+,5734,14315
7052,FOXP3-CD4+,5737,14065
7053,FOXP3-CD4+,5740,15811
7054,FOXP3-CD4+,5743,14904
7055,FOXP3-CD4+,5744,14480
7056,CD8+,5744,14523
7057,CD8+,5745,15704
7058,CD8+,5748,14880
7059,FOXP3-CD4+,5749,14055
7060,CD8+,5749,15093
7061,FOXP3-CD4+,5752,14096
7062,FOXP3-CD4+,5752,15279
7063,CD8+,5753,15844
7064,CD8+,5756,15536
7065,CD8+,5757,14487
7066,CD8+,5764,15196
7067,CD8+,5769,14863
7068,CD8+,5769,15913
7069,CD8+,5771,15209
7070,CD8+,5771,15648
7071,CD8+,5774,15833
7072,CD8+,5775,15366
7073,CD8+,5776,15511
7074,CD8+,5777,15267
7075,CD8+,5778,15049
7076,CD8+,5788,15169
7077,FOXP3-CD4+,5790,15630
7078,CD8+,5791,14960
7079,CD8+,5800,15018
7080,CD8+,5800,15586
7081,CD8+,5801,15268
7082,CD8+,5801,15312
7083,CD8+,5801,15448
7084,CD8+,5803,15969
7085,FOXP3-CD4+,5805,14072
7086,FOXP3-CD4+,5807,15870
7087,FOXP3-CD4+,5808,15783
7088,CD8+,5811,15839
7089,FOXP3-CD4+,5813,14356
7090,FOXP3-CD4+,5814,15529
7091,CD8+,5815,15583
7092,CD8+,5822,14971
7093,CD8+,5822,15655
7094,FOXP3+CD4+,5824,14777
7095,CD8+,5825,15683
7096,CD8+,5827,14132
7097,CD8+,5829,14379
7098,FOXP3-CD4+,5829,15437
7099,CD8+,5829,15738
7100,CD8+,5829,15836
7101,CD8+,5832,15862
7102,FOXP3-CD4+,5835,14486
7103,CD8+,5835,15297
7104,CD8+,5838,15586
7105,CD8+,5840,15651
7106,FOXP3-CD4+,5840,15961
7107,CD8+,5852,14749
7108,CD8+,5853,15530
7109,CD8+,5855,14370
7110,CD8+,5856,15565
7111,CD8+,5856,15835
7112,FOXP3-CD4+,5864,14093
7113,CD8+,5865,15590
7114,FOXP3+CD4+,5866,15232
7115,FOXP3-CD4+,5873,15349
7116,CD8+,5874,14864
7117,CD8+,5875,14757
7118,FOXP3-CD4+,5875,14922
7119,CD8+,5876,14658
7120,FOXP3-CD4+,5876,14974
7121,CD8+,5877,14507
7122,CD8+,5882,14328
7123,CD8+,5885,14621
7124,FOXP3-CD4+,5889,14550
7125,CD8+,5890,15622
7126,CD8+,5890,15686
7127,FOXP3-CD4+,5891,14512
7128,CD8+,5895,15606
7129,FOXP3-CD4+,5902,15347
7130,CD8+,5905,14662
7131,FOXP3-CD4+,5908,14732
7132,FOXP3-CD4+,5916,15887
7133,FOXP3-CD4+,5917,14259
7134,FOXP3-CD4+,5922,14969
7135,CD8+,5922,15255
7136,CD8+,5933,14204
7137,CD8+,5933,14551
7138,FOXP3-CD4+,5941,14579
7139,CD8+,5951,15183
7140,CD8+,5954,14135
7141,FOXP3-CD4+,5958,15766
7142,CD8+,5958,15822
7143,CD8+,5966,14138
7144,CD8+,5971,15907
7145,FOXP3-CD4+,5975,14205
7146,CD8+,5988,15989
7147,CD8+,6011,15270
7148,CD8+,6015,14539
7149,FOXP3-CD4+,6020,14064
7150,CD8+,6027,14216
7151,CD8+,6028,14574
7152,CD8+,6028,14765
7153,CD8+,6030,14619
7154,FOXP3-CD4+,6031,14081
7155,CD8+,6032,14556
7156,CD8+,6033,14044
7157,CD8+,6038,14130
7158,FOXP3-CD4+,6040,15833
7159,CD8+,6042,14623
7160,CD8+,6044,14820
7161,CD8+,6045,15160
7162,CD8+,6051,14900
7163,FOXP3-CD4+,6056,14159
7164,CD8+,6056,15393
7165,CD8+,6056,15970
7166,CD8+,6058,15819
7167,CD8+,6059,14641
7168,CD8+,6063,14666
7169,CD8+,6071,14094
7170,CD8+,6072,15615
7171,CD8+,6077,14897
7172,CD8+,6081,15060
7173,FOXP3-CD4+,6082,15006
7174,CD8+,6085,14356
7175,CD8+,6089,14706
7176,FOXP3-CD4+,6090,15778
7177,CD8+,6091,14851
7178,CD8+,6092,14076
7179,FOXP3-CD4+,6095,15906
7180,FOXP3-CD4+,6096,15674
7181,FOXP3-CD4+,6096,15933
7182,FOXP3-CD4+,6097,14208
7183,FOXP3-CD4+,6098,15954
7184,CD8+,6101,15294
7185,CD8+,6101,15653
7186,FOXP3-CD4+,6102,14816
7187,CD8+,6104,14057
7188,FOXP3-CD4+,6104,14493
7189,FOXP3-CD4+,6111,14513
7190,CD8+,6112,14248
7191,CD8+,6113,15334
7192,CD8+,6118,14598
7193,CD8+,6119,15804
7194,FOXP3-CD4+,6120,14445
7195,FOXP3-CD4+,6120,15768
7196,CD8+,6121,14297
7197,CD8+,6121,14774
7198,CD8+,6124,15095
7199,CD8+,6125,15584
7200,FOXP3-CD4+,6126,14977
7201,CD8+,6128,14811
7202,CD8+,6128,15347
7203,CD8+,6130,15021
7204,CD8+,6131,15226
7205,CD8+,6131,15301
7206,CD8+,6132,14840
7207,FOXP3-CD4+,6134,15486
7208,CD8+,6135,15079
7209,FOXP3-CD4+,6138,15388
7210,CD8+,6141,14083
7211,CD8+,6141,15442
7212,CD8+,6143,14201
7213,CD8+,6147,15495
7214,CD8+,6152,15142
7215,FOXP3-CD4+,6154,14877
7216,CD8+,6160,15201
7217,FOXP3-CD4+,6161,14042
7218,CD8+,6165,14103
7219,FOXP3-CD4+,6165,15279
7220,FOXP3-CD4+,6165,15727
7221,CD8+,6168,14535
7222,CD8+,6173,14138
7223,CD8+,6176,14172
7224,FOXP3-CD4+,6191,15050
7225,CD8+,6192,15915
7226,CD8+,6193,14539
7227,FOXP3-CD4+,6200,14843
7228,CD8+,6200,14900
7229,CD8+,6201,14570
7230,CD8+,6204,14508
7231,FOXP3-CD4+,6204,14529
7232,FOXP3-CD4+,6206,15475
7233,CD8+,6213,15488
7234,CD8+,6214,14873
7235,CD8+,6214,14920
7236,FOXP3-CD4+,6222,15107
7237,CD8+,6223,15406
7238,CD8+,6237,15201
7239,CD8+,6239,14898
7240,CD8+,6242,15128
7241,CD8+,6245,15079
7242,FOXP3-CD4+,6246,14343
7243,CD8+,6252,15734
7244,FOXP3-CD4+,6255,15563
7245,CD8+,6257,14468
7246,CD8+,6261,15425
7247,CD8+,6262,15212
7248,FOXP3-CD4+,6262,15234
7249,CD8+,6267,15514
7250,CD8+,6271,15397
7251,CD8+,6276,15070
7252,CD8+,6278,14120
7253,CD8+,6278,14428
7254,CD8+,6279,14324
7255,CD8+,6281,14405
7256,FOXP3+CD4+,6290,15205
7257,FOXP3-CD4+,6291,15452
7258,CD8+,6292,14348
7259,CD8+,6292,14973
7260,CD8+,6295,15409
7261,FOXP3-CD4+,6296,15262
7262,FOXP3-CD4+,6297,15305
7263,CD8+,6302,14423
7264,CD8+,6302,15355
7265,CD8+,6305,14879
7266,FOXP3-CD4+,6305,15763
7267,CD8+,6308,15162
7268,CD8+,6312,15443
7269,FOXP3-CD4+,6313,14868
7270,FOXP3-CD4+,6314,15926
7271,CD8+,6320,15134
7272,CD8+,6322,14367
7273,CD8+,6323,14254
7274,FOXP3-CD4+,6323,14314
7275,CD8+,6329,14451
7276,CD8+,6329,14859
7277,CD8+,6330,14574
7278,FOXP3-CD4+,6331,14023
7279,CD8+,6331,15784
7280,CD8+,6337,14841
7281,CD8+,6338,14119
7282,CD8+,6340,15242
7283,CD8+,6345,15457
7284,CD8+,6346,15498
7285,CD8+,6348,15018
7286,CD8+,6349,14775
7287,FOXP3-CD4+,6349,15303
7288,CD8+,6350,14982
7289,CD8+,6353,14058
7290,CD8+,6353,15895
7291,CD8+,6354,14655
7292,CD8+,6359,15291
7293,CD8+,6363,15390
7294,CD8+,6364,14645
7295,CD8+,6367,15141
7296,FOXP3-CD4+,6374,14527
7297,CD8+,6375,15245
7298,CD8+,6376,14296
7299,CD8+,6384,15075
7300,CD8+,6385,15810
7301,FOXP3-CD4+,6386,15896
7302,CD8+,6388,15276
7303,FOXP3-CD4+,6389,14230
7304,CD8+,6390,14799
7305,CD8+,6392,15880
7306,CD8+,6393,15169
7307,CD8+,6394,14909
7308,CD8+,6398,14588
7309,CD8+,6401,14561
7310,FOXP3-CD4+,6408,15301
7311,CD8+,6409,15457
7312,CD8+,6410,15856
7313,CD8+,6415,15940
7314,CD8+,6416,14805
7315,FOXP3-CD4+,6423,15564
7316,CD8+,6426,14016
7317,CD8+,6427,15849
7318,CD8+,6431,14391
7319,CD8+,6431,14655
7320,CD8+,6432,14195
7321,CD8+,6434,15227
7322,CD8+,6437,15006
7323,CD8+,6439,14804
7324,CD8+,6439,14902
7325,CD8+,6439,15176
7326,CD8+,6440,14972
7327,CD8+,6441,15272
7328,CD8+,6449,14838
7329,CD8+,6449,14891
7330,CD8+,6450,14787
7331,CD8+,6453,15553
7332,CD8+,6456,15952
7333,CD8+,6458,15334
7334,CD8+,6462,14730
7335,FOXP3-CD4+,6464,15471
7336,CD8+,6465,15895
7337,CD8+,6470,14203
7338,FOXP3-CD4+,6471,15502
7339,CD8+,6478,14104
7340,CD8+,6481,14710
7341,CD8+,6484,14916
7342,CD8+,6488,15019
7343,CD8+,6489,14010
7344,CD8+,6489,14216
7345,CD8+,6489,14799
7346,CD8+,6489,14823
7347,CD8+,6489,14949
7348,CD8+,6491,15937
7349,FOXP3-CD4+,6496,15728
7350,CD8+,6501,15819
7351,FOXP3-CD4+,6503,14075
7352,CD8+,6506,14770
7353,FOXP3-CD4+,6507,14492
7354,CD8+,6508,15026
7355,CD8+,6512,14874
7356,CD8+,6515,14034
7357,CD8+,6515,14218
7358,FOXP3-CD4+,6516,14380
7359,CD8+,6518,15123
7360,FOXP3-CD4+,6521,14746
7361,CD8+,6526,15474
7362,FOXP3-CD4+,6529,15930
7363,CD8+,6531,14078
7364,CD8+,6531,14714
7365,CD8+,6538,14776
7366,CD8+,6539,14618
7367,CD8+,6543,14443
7368,FOXP3-CD4+,6544,15959
7369,CD8+,6547,14806
7370,CD8+,6551,15310
7371,CD8+,6553,14846
7372,CD8+,6558,15298
7373,FOXP3-CD4+,6559,14715
7374,FOXP3-CD4+,6562,14586
7375,CD8+,6564,14871
7376,CD8+,6567,14700
7377,CD8+,6568,14526
7378,CD8+,6569,14658
7379,CD8+,6571,14785
7380,CD8+,6573,14472
7381,FOXP3-CD4+,6579,15931
7382,FOXP3-CD4+,6583,15912
7383,CD8+,6584,15961
7384,CD8+,6585,15055
7385,FOXP3-CD4+,6585,15265
7386,CD8+,6601,15603
7387,CD8+,6602,14869
7388,CD8+,6602,15392
7389,CD8+,6603,14956
7390,CD8+,6603,15220
7391,CD8+,6604,14442
7392,CD8+,6605,14049
7393,CD8+,6605,15822
7394,CD8+,6610,14269
7395,CD8+,6610,14315
7396,CD8+,6616,15834
7397,CD8+,6616,15977
7398,FOXP3-CD4+,6618,14519
7399,FOXP3+CD4+,6619,14790
7400,CD8+,6620,14289
7401,CD8+,6620,14735
7402,CD8+,6628,15955
7403,CD8+,6629,14755
7404,FOXP3+CD4+,6632,14332
7405,CD8+,6633,14648
7406,FOXP3+CD4+,6637,14068
7407,CD8+,6637,15808
7408,CD8+,6641,15624
7409,CD8+,6648,14542
7410,CD8+,6648,15359
7411,FOXP3-CD4+,6661,14965
7412,FOXP3-CD4+,6664,14804
7413,FOXP3-CD4+,6665,14431
7414,CD8+,6666,15531
7415,CD8+,6671,15761
7416,FOXP3-CD4+,6673,15064
7417,FOXP3-CD4+,6677,15828
7418,FOXP3-CD4+,6684,14092
7419,FOXP3-CD4+,6689,14195
7420,FOXP3-CD4+,6692,15275
7421,FOXP3-CD4+,6701,14165
7422,CD8+,6702,14026
7423,CD8+,6719,14964
